data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6410468,231,ETH3148,3148,19-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,West Shewa,Toke Kutaye,Jeldu,9.0167,37.6667,2,Oromiya Media Network,International,People protested against the government agenda in several towns of Jeldu district of West Shewa.,0,1575999997,ETH
6410469,231,ETH3149,3149,19-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Borena,Yabelo,Yabelo,4.8833,38.0833,1,Oromiya Media Network,International,"People protested against the government agenda in Yabelo, Borena.",0,1575999997,ETH
6410470,231,ETH3146,3146,19-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,East Harerghe,Haro Maya,Aweday,9.3577,42.0458,1,Oromiya Media Network,International,"People protested against the government agenda in Awaday, East Hararge.",0,1575999997,ETH
4804488,231,ETH3145,3145,18-Jul-16,2016,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,OLF: Oromo Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Gimbi,Gimbi,9.1667,35.8333,2,Voice of Oromo Liberation,Subnational,"OLA forces attacked Ethiopian soldiers in a place called Lalisa Dhangago in Ebantu District, West Welega Zone, killing one soldier and wounding another five.",1,1552577193,ETH
6411202,231,ETH3143,3143,18-Jul-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,West Harerghe,Mieso,Asabot,9.2776,40.5725,1,Oromiya Media Network,International,"People protested against the government agenda in Asabot, West Hararge. Soldiers allegedly shot a protester.",0,1576000000,ETH
6411205,231,ETH3144,3144,18-Jul-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,West Shewa,Ambo,Gojo,9.2667,38.0833,1,Oromiya Media Network,International,"People protested against the government agenda in several towns in Jeldu district. Soldiers allegedly shot 6 protesters in Gojo town, while people closed the roads in protest in Shikute town. No fatalities reported.",0,1576000000,ETH
6410476,231,ETH3141,3141,18-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,West Shewa,Toke Kutaye,Jeldu,9.0167,37.6667,2,Oromiya Media Network,International,"People protested against the government agenda in several towns in Jeldu district. Soldiers allegedly shot 6 protesters in Gojo town, while people closed the roads in protest in Shikute town.",0,1575999997,ETH
7210498,231,ETH3137,3137,16-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Farmers (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,North Shewa (Oromia),Bereh,Sendafa,9.15,39.0333,1,Addis Standard,National,"Farmers protested against the new waste disposal and recycling centre of Addis Ababa at Sendafa Landfill, refusing to allow garbage to be dumped at the site. The strike was still in force ten days later, as Addis Abebas solid waste was piling-up across the cities neighbourhoods.",0,1600121118,ETH
6411208,231,ETH3133,3133,14-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia); Women (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,1,Oromiya Media Network,International,Women from a village in Arsi went to the town and closed all roads with their cattle to protest against the earlier shooting of two boys by a government soldier.,0,1576000000,ETH
6411210,231,ETH3134,3134,14-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Arsi,Gedeb Asasa,Asasa,7.1,39.2,1,Oromiya Media Network,International,"Students at Asasa Preparatory School marched to town after completing their 12th grade exam, calling for freedom.",0,1576000000,ETH
7272640,231,ETH3132,3132,13-Jul-16,2016,1,Battles,Armed clash,Amhara Ethnic Militia (Ethiopia),Welkait Committee,4,Police Forces of Ethiopia (1995-2018),Military Forces of Ethiopia (1995-2018),1,14,Eastern Africa,Ethiopia,Amhara,North Gondar,Gonder Zuria,Gonder,12.6,37.4667,1,AFP; EBC; Addis Standard; ENA; Deutsche Welle,National-International,"Police and soldiers exchanged gunfire with Amhara residents and activists of Gonder for two days after police had come to arrest 6 members of the 'Welkayit committee' over alleged criminal activities. 16 people died, including 11 security agents, and at least 16 members of the federal and regional police were injured. Police later arrested four activists involved in the violence. Property damage was also recorded. Ethiopian government officials blame opposition groups based in Eritrea for the unrest in Gonder, while residents say ethnic tensions are behind the skirmishes. The Wolkayit committee has been protesting against the governments decision to merge the Wolkayit community and its land into the neighboring Tigray Regional State for over two decades, as they identify more with the Amharas than with the Tigrayans. Several internationals were evacuated from the town.",8,1604354624,ETH
6411455,231,ETH3131,3131,12-Jul-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,2,Oromiya Media Network,International,"In Xiyoo district of Arsi zone, people prevented trucks carrying fertilizers from continuing their journey, demanding the fertilizers for themselves.",0,1576000001,ETH
