data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6121588,231,ETH1607,1607,2012-01-15,2012,2,Violence against civilians,Attack,Police Forces of Ethiopia (1995-2018) Prison Guards,,1,Civilians (Ethiopia),Mekan Ethnic Group (Ethiopia),7,17,Eastern Africa,Ethiopia,Southern Nations,South Omo,Bako Gazer,Jinka,5.2833,36.7667,2,Republica (Africa),Regional,Survival received reports of three Bodi men being beaten to death in an Ethiopian jail.,3,1571164635,ETH
5562059,231,ETH1605,1605,2012-01-01,2012,3,Violence against civilians,Sexual violence,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),Mekan Ethnic Group (Ethiopia); Women (Ethiopia),7,17,Eastern Africa,Ethiopia,Southern Nations,South Omo,Bako Gazer,Jinka,5.2833,36.7667,2,The Oakland Insitute,Other,"January 2012, ten Bodi women had been raped by soldiers, in some cases gang raped",0,1563305269,ETH
5562060,231,ETH1606,1606,2012-01-01,2012,3,Violence against civilians,Sexual violence,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),Mursi Ethnic Group (Ethiopia); Mekan Ethnic Group (Ethiopia); Prisoners (Ethiopia),7,17,Eastern Africa,Ethiopia,Southern Nations,Bench Maji,Debub Bench,Mizan Teferi,6.9833,35.5833,2,The Oakland Insitute,Other,"Two Mursi met with the USAID Mission Director and Deputy Mission Director for Ethiopia in March, 2012. They reported rapes by the Ethiopian military during forced land displacements.",0,1563305269,ETH
6763292,231,ETH1603,1603,2011-12-19,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,OLF: Oromo Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,North Shewa (Oromia),Debre Libanos,North Shewa Zone,9.6692,38.8124,1,All Africa,Regional,"OLA forces attack government positions, six killed, 13 wounded.",6,1580160983,ETH
4936917,231,ETH1598,1598,2011-12-06,2011,2,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Jarar,Degehamedo,Daga Medo,7.9833,43.0167,1,All Africa,Regional,A series of attacks ranging from December 6th - 12th occur over a small area. 27 weyane soldiers killed and 30 others wounded.,0,1552577525,ETH
4936918,231,ETH1599,1599,2011-12-06,2011,2,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Nogob,Dihun,Dihun,7.2167,42.7000,1,All Africa,Regional,A series of attacks ranging from December 6th - 12th occur over a small area. 27 weyane soldiers killed and 30 others wounded.,7,1552577525,ETH
4936919,231,ETH1600,1600,2011-12-06,2011,2,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Dale Wabera,Garbo,9.0333,35.0500,1,All Africa,Regional,A series of attacks ranging from December 6th - 12th occur over a small area. 27 weyane soldiers killed and 30 others wounded.,7,1552577525,ETH
4936920,231,ETH1601,1601,2011-12-06,2011,2,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.3500,42.8000,2,All Africa,Regional,A series of attacks ranging from December 6th - 12th occur over a small area. 27 weyane soldiers killed and 30 others wounded. This event occurred in the Fik Region.,9,1552577525,ETH
4936921,231,ETH1602,1602,2011-12-06,2011,2,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Korahe,Kebridehar,Kebri Dehar,6.7400,44.2781,1,All Africa,Regional,A series of attacks ranging from December 6th - 12th occur over a small area. 27 weyane soldiers killed and 30 others wounded.,7,1552577525,ETH
6763291,231,ETH1597,1597,2011-11-20,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,OLF: Oromo Liberation Front,,2,12,Eastern Africa,Ethiopia,Amhara,North Shewa (Amhara),Minjar Shenkora,Arertu,8.9333,39.4167,1,All Africa,Regional,"The same OLA unit active November 18th attacked another weyane camp located in Yaya Gulele County at a place called Malka Mogor in a village called Arertu, killing five enemy troops and wounding, at least, three others. In these operations the OLA Northern Oromiya Command confiscated military armament and made them the property of the Oromo liberation struggle led by OLF.",5,1580160983,ETH
